Barcelona_Block_MOO_ready_LogGenerator* 10:26:33 Parameters 0.16,0.69,0.89,0.4,0.8,0.81,0.17,0.11,0.58,0.7,0.35,0.33,0.3,0.92,0.12,0.82,0.01,0.91,0.28,0.5,0.76,0.74,0.12,0.03,0.69,0.45,0.98,0.26,0.67,0.17,0.53,0.36,0.92,0.12,0.05,0.31,0.93,0.36,0.88,0.37,0.94,0.71,0.62,0.35,0.05,0.67,0.72,0.73,0.59,0.89,0.92,0.36,0.61,0.83,0.55,0.17,0.13,0.88,0.1,0.96,0.9,0.32,0.16,0.29,0.91,0.9,0.86,0.47,0.74,0.53,0.92,0.06,0.73,0.07,0.59,0.55,0.82,0.78,0.05,0.61,0.93,0.46,0.13,0.74,0.72,0.91,0.98,0.21,0.44,0.71 Objectives 0.3109,1125293.34297432
Barcelona_Block_MOO_ready_LogGenerator* 10:27:49 Parameters 0.69,0.69,0.1,0.28,0.24,0.13,0.61,0.82,0.41,0.29,0.23,0.68,0.39,0.43,0.34,0.19,0.39,0.87,0.64,0.89,0.56,0.73,0,0.19,0.33,0.3,0.7,0.37,0.91,0.56,0.27,0.37,0.45,0.13,0.07,0.2,0.7,0.57,0.97,0.59,0.72,0.57,0.16,0.01,0.14,0.49,0.88,0.58,0.61,0.47,0.81,0.01,0.75,0.98,0.26,0.55,0.08,0.08,0.47,0.45,0.11,0.72,0.48,0.82,0.75,0.37,0.11,0.76,0.59,0.58,0.26,0.17,0.91,0.38,0.16,0.79,0.1,0.71,0.95,0.21,0.92,0.36,0.27,0.31,0.05,0.92,0.78,0.76,0.63,0.76 Objectives 0.3102,1169232.00581886
Barcelona_Block_MOO_ready_LogGenerator* 10:29:03 Parameters 0.5,0.5,0.43,0.13,0.1,0.43,0.08,0.05,0.31,0.49,0.89,0.73,0,0.15,0.81,0.81,0.63,0.6,0.79,0.44,0.46,0.11,0.62,0.14,0.65,0.25,0.24,0.41,0.95,0.86,0.16,0.12,0.46,0.05,0.87,0.34,0.99,0.84,0.71,0.75,0.56,0.9,0.6,0.14,0.47,0.91,0.2,0.36,0.21,0.93,0.36,0.08,0.62,0.24,0.36,0.14,0.72,0.7,0.43,0.16,0.12,0.53,0.73,0.41,0.75,0.99,0.81,0.28,0.62,0.37,0.45,0.85,0.19,0.01,0.56,0.39,0.23,0.2,0.66,0.39,0.76,0.33,0.22,0.39,0.52,0.1,0.2,0.23,0.88,0.39 Objectives 0.3059,1024168.701543
Barcelona_Block_MOO_ready_LogGenerator* 10:30:17 Parameters 0.51,0.1,0.45,0.99,0.62,0.88,0.05,0.48,0.59,0.46,0.77,0.8,0.18,0.85,0.06,0.75,0.74,0.55,0.81,0.7,0.94,0.64,0.08,0.04,0.55,0.64,0.9,0.96,0.26,0.95,0.61,0,0.07,0.42,0.76,0.6,0.62,0.8,0.52,0.59,0.83,0.99,0.38,0.86,0.83,0.53,0.76,0.1,0.29,0.26,0.81,0.11,0.51,0.19,0.69,0.55,0.61,0.28,0.92,0.78,0.61,0.85,0.4,0.34,0.25,0.34,0.17,0.48,0.77,0.13,0.15,0.74,0.4,0.72,0.29,0.28,0.61,0.54,0.81,0.67,0.82,0.15,0.73,0.84,0.57,0.12,0.27,0.95,0.32,0.62 Objectives 0.3132,1156696.96405688
Barcelona_Block_MOO_ready_LogGenerator* 10:31:25 Parameters 0.23,0.54,0.18,0.44,0.49,0.36,0.21,0.99,0.95,0.62,0.34,0.4,0.68,0.12,0.61,0.41,0.23,0.76,0.97,0.71,0.94,0.97,0.22,0.1,0.76,0.3,0.56,0.32,0.63,0.91,0.65,0.5,1,0.52,0.86,0.36,0.12,0.75,0.97,0.06,0.51,0.77,0.44,0.43,0.66,0.21,0.8,0.13,0.42,0.75,0.69,0.18,0.95,0.08,0.08,0.22,0.42,0.6,0.39,0.48,0.44,0.69,0.72,0.57,0.67,0.64,0.7,0,0.37,0.05,0.62,0.44,0.1,0.26,0.86,0.82,0.43,0.42,0.11,0.75,0.54,0.76,0.23,0.79,0.3,0.8,0.62,0.37,0.64,0.89 Objectives 0.3443,1030241.17024316
Barcelona_Block_MOO_ready_LogGenerator* 10:32:34 Parameters 0.21,0.15,0.88,0.04,0.13,0.88,0.04,0.2,0.94,0,0.82,0.16,0.8,0.59,0.9,0.93,0.25,0.53,0.83,0.11,0.48,0.98,0.16,0.46,0.05,0.19,0.29,0.05,0.89,0.28,0.49,0.09,0.07,0.87,0.76,0.73,0.31,0.52,0.21,0.91,0.39,0.06,0.12,0.93,0.13,0.62,0.13,0.95,0.74,0.19,0.25,0.62,0.09,0.52,0.95,0.24,0.88,0.45,0.53,0.94,0.1,0.25,0.89,0.34,0.78,0.64,0.09,0.96,0,0.69,0.45,0.92,0.71,0.83,0.75,0.99,0.35,0.64,0.44,0.06,0.11,0.07,0.52,0.8,0.19,0.58,0.23,0.19,0.61,0.95 Objectives 0.3139,962184.126714633
Barcelona_Block_MOO_ready_LogGenerator* 10:33:35 Parameters 0.75,0.48,0.86,0.28,0.3,0.07,0.82,0.74,0.92,0.76,0.88,0.33,0.2,0.71,0.11,0.12,0.31,0.04,0.27,0.42,0.39,0.28,0.71,0.82,0.32,0.59,0.81,0.34,0.04,0.07,0.3,0.35,0.89,0.89,0.86,0.65,0.3,0.26,0.21,0.79,0.26,0.77,0.96,0.74,0.22,0.79,0.31,0.09,0.08,0.03,0.06,0.67,0.05,0.02,0.84,0.64,0.23,0.82,0.33,0.83,0.63,0.65,0.97,0.76,0.68,0.26,0.44,0.25,0.77,0.43,0.03,0.82,0.83,0.53,0.13,0.01,0.9,0.73,0.09,0.7,0.89,0.38,0.18,0.51,0.56,0.27,0.29,0.15,0.31,0.86 Objectives 0.329,888012.978088702
Barcelona_Block_MOO_ready_LogGenerator* 10:34:37 Parameters 0.41,0.54,0.37,0.76,0.42,0.4,0.05,0.61,0.68,0.92,0.7,0.27,0.34,0.32,0.85,0.91,0.33,0.04,0.25,0.07,0.11,0.73,0.91,0.72,0.64,0.29,0.72,0.6,0.8,0.58,0.17,0.38,0.08,0.11,0.54,0.04,0.77,0.63,0.51,0.31,0.06,0.9,0.6,0.06,0.41,0.78,0.62,0.9,0.15,0.96,0.24,0.61,0.06,0.3,0.53,0.94,1,0.27,0.98,0,0.24,0.65,0.25,0.12,0.16,0.47,0.57,0.42,0.21,0.71,0.25,0.32,0.25,0.14,0.35,0.43,0.02,0.51,0.61,0.71,0.52,0.85,0.83,0.92,0.65,0.74,0.81,0.01,0.8,0.05 Objectives 0.3398,977038.03761164
Barcelona_Block_MOO_ready_LogGenerator* 10:35:54 Parameters 0.46,0.79,0.87,0.88,0.77,0.62,0.55,0.57,0.7,0.96,0.58,0.66,0.25,0.18,0.27,0.2,0.88,0.84,0.27,0.38,0.91,0.68,0.79,0.62,0.18,0,0.07,0.51,0.53,0.71,0.63,0.24,0.49,0.63,0.03,0.05,0.07,0.53,0.27,0.8,0.37,0.25,0.92,0.24,0.7,0.15,0.39,0.87,0.35,0.57,0.37,0.39,0.94,0.54,0.92,0.3,0.31,0.11,0.02,0.51,0.55,0.78,0.16,0.97,0.78,0.99,0.36,0.79,0.95,0.85,0.86,0.6,0.63,0.07,0.59,0.06,0.94,0.39,0.14,0.96,0.92,0.62,0.7,0.62,0.98,0.29,0.65,0.74,0.9,0.82 Objectives 0.3272,1089078.24133023
Barcelona_Block_MOO_ready_LogGenerator* 10:37:00 Parameters 0.65,0.86,0,0.72,0.25,0.41,0.11,0.43,0.03,0.4,0.91,0.44,0.93,0.45,0.76,0.53,0.54,0.28,0.26,0.41,0.24,0.15,0.12,0.96,0.86,0.24,0.47,0.52,0.76,0.89,0.72,0.89,0.15,0.05,0.26,0.06,0.46,0.47,0.22,0.79,0.54,0.62,0.92,0.09,0.03,0.08,0.15,0.43,0.82,0.61,0.67,0.98,0.14,0.8,0.61,0.2,0.98,0.94,0.08,0.75,0.27,0.25,0.14,0.69,0.55,0.37,0.29,0.3,0.04,0.68,0.75,0.55,0.83,0.74,0.23,0.94,0.48,0.74,0.41,0.79,0.04,0.33,0.9,0.48,0.6,0.61,0.24,0.83,0.96,0.03 Objectives 0.3172,998169.282727816
Barcelona_Block_MOO_ready_LogGenerator* 10:38:11 Parameters 0.64,0.81,0.84,0.25,0.31,0.58,0.77,0.98,1,0.23,0.39,0.47,0.32,0.59,0.22,0.07,0.27,0.37,0.15,0.42,0.68,0.22,0.56,0.15,0.18,0.48,0.54,0.6,0.18,0.84,0.3,0.57,0.88,0.67,0.06,0.8,0.92,0.02,0.41,0.63,0.24,0.52,0.69,0.15,0.11,0.36,0.38,0.07,0.83,0.17,0.53,0.92,0.45,0.57,0.77,0.65,0.72,0.1,0.86,0.55,0.72,0.66,0.79,0.53,0.09,0.87,0.62,0.93,0.91,0.58,0.69,0.33,0.51,0.77,0.51,0.49,0.34,0.58,0.76,0.33,0.8,0.23,0.13,0.98,0.71,0.9,0.13,0.84,0.89,0.73 Objectives 0.3184,1061304.11588351
