Barcelona_Block_MOO_ready3* 01:22:46 Parameters 0.68,0.43,0.15,0.44,0.09,0.08,0.03,0.83,0.23,0.39,0.76,0.89,0.67,0.06,0.26,0.74,0.74,0.72,0.14,0.95,0.46,0.95,0.63,0.07,0.95,0.78,0.95,0.74,0.8,0.43,0.38,0.53,0.87,0.1,0.57,0.52,0.64,0.75,0.22,0.59,0.7,0.15,0.47,0.63,0.36,0.24,0.42,0.15,0.45,0.69,0.52,0.43,0.4,0.51,0.17,0.26,0.42,0.94,0.75,0.84,0.21,0.92,0.19,0.41,0.61,0.39,0.91,0.39,0.68,0.15,0.63,0.66,0.28,0.95,0.34,0.86,0.88,0.07,0.96,0.26,0.59,0.48,0.27,0.8,0.83,0.35,0.67,0.13,0.01,1 Objectives 0.3187,1081685.71140999
Barcelona_Block_MOO_ready3* 01:23:24 Parameters 0.76,0.38,0.08,0.81,0.47,0.62,0.85,0.01,0.26,0.82,0.16,0.27,0.24,0.17,0.94,0.08,0.5,0.89,0.6,0.8,0.15,0.5,0.11,0.87,0.71,0.28,0.46,0.72,0.09,0.22,0.83,0.36,0.94,0.07,0.5,0.85,0.44,0.02,0.17,0.83,0.19,0.18,0.3,0.59,0.93,0.84,0.04,0.56,0.11,0.92,0.16,0.48,0.04,0.71,0.56,0.68,0.41,0.27,0.74,0.06,0.44,0.08,0.97,0.21,0.17,0.57,0.84,0.95,0.57,0.23,0.84,0.86,0.68,0.86,0.87,0.98,0.73,0.95,0.47,0.64,0.19,0.16,0.96,0.76,0.5,0.24,0.85,0.28,0.64,0.23 Objectives 0.3141,1034393.19869317
Barcelona_Block_MOO_ready3* 01:24:05 Parameters 0.08,0.47,0.55,0.15,0.42,0.23,0.92,0.72,0.37,0.59,0.43,0.75,0.45,0.86,0.54,0.87,0.32,0.58,0.51,0.95,0.38,0.34,0.15,0.66,0.04,0.54,0.54,0.38,0.36,0.33,0.17,0.14,0.16,0.43,0.89,0.85,0.9,0.89,0.8,0.97,0.67,0.3,0.16,0.68,0.62,0.53,0.77,0.49,0.62,0.74,0.83,0.84,0.52,0.82,0.87,0.93,0.62,0.14,0.88,0.96,0.62,0.64,0.68,0.96,0.39,0.35,0.08,0.09,0.08,0.54,0.68,0.9,0.27,0.58,0.07,0.47,0.82,0.49,0.37,0.6,0.72,0.41,0.48,0.72,0.41,0.2,0.49,0.05,0.67,0.97 Objectives 0.2999,1158935.76895706
Barcelona_Block_MOO_ready3* 01:24:35 Parameters 0.39,0.51,0.29,0.2,0.79,0.92,0.65,0.06,0.15,0.78,0.37,0.46,0.28,0.49,0.69,0.25,0.04,0.73,0.12,0.12,0.74,0.21,0.75,0.6,0.36,0.46,0.01,0.12,0.97,0.14,0.01,0.41,0.48,0.23,0.26,0.12,0.77,0.69,0.77,0.16,0.57,0.9,0.34,0.73,0.61,0.89,0.01,0.63,0.2,0.11,0.79,0.38,0.79,0.68,0.75,0.99,0.68,0.91,0.12,0.52,0.09,0.1,0.94,0.99,0.86,0.4,0.49,0.53,0.28,0.4,0.73,0.77,0.55,0.24,0.3,0.98,0.83,0.12,0.38,0.31,0.58,0.02,0.95,0.21,0.42,0.89,0.85,0.11,0.53,0.56 Objectives 0.3334,859549.210961195
Barcelona_Block_MOO_ready3* 01:25:05 Parameters 0.91,0.05,0.78,0.22,0.51,0.95,0.36,0.33,0.77,0.05,0.69,0.02,0.87,0.88,0.23,0.67,0.27,0.3,0.67,0.34,0,1,0.75,0.18,0.61,0.93,0.32,0.58,0.94,0.02,0.26,0.63,0.14,0.68,0.05,0.55,0.64,0.32,0.89,0.66,0.79,0.89,0.61,0.15,0.62,0.45,0.64,0.27,0.25,0.14,0.23,0.17,0.99,0.87,0.41,0.56,0.03,0.54,0.79,0.71,0.31,0.92,0.54,0.18,0.89,0.41,0.82,0.52,0.36,0.55,0.4,0.31,0.22,0.91,0.35,0.35,0,0.2,0.65,0.46,0.59,0.93,0,0.05,0.78,0.68,0.05,0.04,0.72,0.04 Objectives 0.3272,857649.371742932
Barcelona_Block_MOO_ready3* 01:25:39 Parameters 0.65,0.65,0.47,0.39,0.71,0,0.09,0.49,0.4,0.71,0.44,0.69,0.24,0.94,0.82,0.84,0.11,0.77,0.52,0.4,0.25,0.33,0.68,0.81,0.32,0.08,0.07,0.4,0.65,0.73,0.67,0.99,0.75,0.37,0.62,0.85,0.76,0.05,0.12,0.91,0.48,0.09,0.61,0.49,0.8,0.67,0.65,0.3,0.91,0.09,0.26,0.29,0.64,0.33,0.19,0.11,0.24,0.27,0.44,0.72,0.54,0.9,0.83,0.54,0.49,0.33,0.75,0.72,0.14,0.77,0.84,0.89,0.46,0.25,0.61,0.72,0.08,0.37,0.05,0.57,0.83,0.97,0.58,0.22,0.26,0.31,0.47,0.56,0.17,0.78 Objectives 0.3469,924000.484153543
Barcelona_Block_MOO_ready3* 01:26:24 Parameters 0.65,0.95,0.52,0.06,0.29,0.75,0.15,0.3,0.79,0.88,0.07,0.73,0.4,0.64,0.59,0.33,0.77,0.78,0.85,0.46,0.32,0.43,0.67,0.58,0.21,0.35,0.91,0.61,0.93,0.81,0.38,0.43,0.9,0.87,0.64,0.43,0.82,0.92,0.88,0.93,0.08,0.12,0.01,0.92,0.59,0.6,0.82,0.96,0.65,0.68,0.4,0.12,0.21,0.81,0.38,0.01,0.46,0.91,0.99,0.16,0.11,0.14,0.47,0.68,0.23,0.12,0.05,0.58,0.71,0.38,0.61,0.08,0.8,0.51,0.23,0.62,0.04,0.69,0.81,0.86,0.81,0.47,0.64,0.24,0.7,0.48,0.57,0.29,0.99,0.45 Objectives 0.3052,1256008.33283203
Barcelona_Block_MOO_ready3* 01:27:03 Parameters 1,0.18,0.26,0.45,0.64,0.43,0.7,0.35,0.58,0.27,0.72,0.07,0.25,0.69,0.11,0.41,0.03,0.53,0.45,0.59,0.46,0.17,0.1,0.19,0.44,0.13,0.44,0.84,1,0.29,0.32,0.82,0.33,0.99,0.58,0.7,0.49,0.44,0.4,0.24,0.22,0.36,0.44,0.52,0.17,0.42,0.03,0.76,0.36,0.2,0.63,0.75,0.53,1,0.56,0.97,0.93,0.39,0.04,0.83,0.81,0.81,0.03,0.21,0.37,0.38,0.62,0.51,0.24,0.51,0.38,0.78,0.25,0.11,0.84,0.91,0.66,0.68,0.52,0.93,0.56,0.37,0.6,0.15,0.28,0.99,0.25,0.81,0.91,0.97 Objectives 0.3151,1072379.77908218
Barcelona_Block_MOO_ready3* 01:27:37 Parameters 0.6,0.86,0.04,0.57,0.05,0.67,0.67,0.75,0.9,0.02,0.11,0.79,0.21,0.98,0.23,0.82,0.28,0.68,0.77,0.47,1,0.27,0.73,0.31,0.63,0.25,0.67,0.42,0.01,0.21,0.44,0.94,0.79,0.55,0.03,0.77,0.11,0.79,0.09,0.38,0.65,0.81,0.26,0.01,0.24,0.04,0.72,0.24,0.09,0.51,0.23,0.7,0.67,0.11,0.54,0.94,0.4,0.7,0.8,0.21,0.73,0.46,0.52,0.17,0.29,0.55,0.51,0.01,0.21,0.87,0.69,0.41,0.87,0.45,0.54,0.78,0.32,0.44,0.63,0.49,0.35,0.11,0.27,0,0.43,0.15,0.09,0.81,0.45,0.08 Objectives 0.3395,910698.122856299
Barcelona_Block_MOO_ready3* 01:28:20 Parameters 0.65,0.65,0.73,0.03,0.4,1,0.2,0.27,0.9,0.28,0.8,0.85,0.35,0.07,0.92,0.55,0.97,0.7,0.28,0.79,0.41,0.31,0.69,0.32,0.69,0.41,0.53,0.07,0.74,0.59,0.12,0.1,0.91,0.82,0.96,0.8,0.18,0.21,0.84,0.99,0.74,0.13,0.63,0.59,0.7,0.76,0.12,0.88,0.45,0.84,0.8,0.17,0.88,0.42,0.72,0.33,0.73,0.59,0.19,0.15,0.3,0.49,0.94,0.26,0.8,0.95,0.17,0.91,0.5,0.85,0.87,0.07,0.62,0.68,0.38,0.68,0.22,0.57,0.91,0.33,0.68,0.11,0.28,0.33,0.96,0.5,0.71,0.11,0.93,0.57 Objectives 0.3092,1119636.53437928
